"R0000100","R0536300","R0536401","R0536402","R1235800","R1318100","R1318200","R1482600","R3961800","R3961900","R3989100","R3989200","R5473600","R5473700","R7237300","R7237400","R9829600","S0920000","S0920100","S0920200","S0920300","S0920400","S0920500","S0920600","S0920700","S1552600","S1552700","T3162500","T3162501","T3162502","T3162503","T3162504","T3162505","T3162506","T3162507","T3162508","T3162509","T3162600","T3162601","T3162602","T3162603","T3162700","T3162701","T3162702","T3162703","T6216400","T6216401","T6216402","T6216403","T6216500","T6216501","T6216502","T6216503","T9039400","T9039500","T9039600","T9039700","T9039800","T9039900","T9040000","T9040100","U1028900","U1029000","U1029100","U1029200","U1029300","U1029400","U1029500","U1029600","U2969100","U2969200","U2969300","U2969400","U2969500","U2969600","U2969700","U2969800","U4954600","Z9033700","Z9033800","Z9033900","Z9034000","Z9034100","Z9034200"
6892,1,12,1982,0,7,78,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,5,-4,-4,7,7,7,1,7,5,5,1,6,1,1,1,7,7,7,1,7,1,-1,-1,-1,-1,-1,-1,7,-1,-5,-5,-5,-5,-5,-5,-5,-5,5,5,5,1,5,5,5,5,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,4,5
6893,2,6,1980,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,21836,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,1,5,3,5,3,7,2,2,1,2,2,6,5,3,1,6,7,5,3,6,5,5,1,3,2,3,3,3,4,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6894,1,2,1984,0,9,80,1,34,94,30,92,21,88,10,81,20693,3,4,3,3,3,4,4,4,-4,-4,1,1,5,5,3,1,6,5,6,3,1,1,1,7,5,1,1,1,7,6,6,2,7,2,2,2,4,3,3,4,5,4,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,4,6
6895,2,3,1980,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,28229,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,3,6,6,6,7,6,4,6,2,1,1,7,6,6,1,5,5,1,2,6,5,5,2,6,5,4,4,2,2,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,3,3
6896,2,8,1981,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,9279,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,3,7,5,7,6,5,1,5,1,1,3,6,7,1,3,5,3,1,3,1,3,1,5,7,5,5,5,5,1,2,5,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6897,2,8,1983,0,21,88,1,-4,-4,-4,-4,-4,-4,-4,-4,45856,3,3,1,4,4,3,3,5,-4,-4,6,5,6,5,7,4,6,1,6,1,1,6,6,6,4,2,6,5,1,5,6,3,3,5,7,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,3,4
6898,2,9,1984,0,42,97,1,58,103,25,90,66,106,58,103,42752,2,3,1,4,3,4,5,5,63,105,6,2,7,2,5,6,4,6,6,4,1,1,7,6,5,1,3,5,1,1,7,6,5,1,3,3,3,1,5,1,3,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,3,6,3,6,4,6
6899,1,8,1982,0,34,94,1,-4,-4,-4,-4,-5,-5,-5,-5,19343,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,1,6,5,5,7,3,3,5,2,1,1,7,7,5,5,5,3,1,7,7,7,6,5,6,3,3,1,2,1,4,5,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
6900,2,12,1980,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,25261,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,2,7,3,7,1,7,2,7,1,1,1,7,7,3,5,5,5,1,1,7,7,5,5,3,5,3,2,3,1,3,2,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6901,1,1,1980,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,54060,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,4,6,3,6,3,5,3,6,2,5,2,6,4,7,3,5,4,1,1,6,5,2,5,5,2,1,3,1,1,1,1,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6902,2,4,1980,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,41983,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,3,6,2,2,6,6,3,6,5,1,2,6,6,4,1,3,7,1,1,6,6,2,1,6,7,4,2,4,1,4,4,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,3,2
6903,2,11,1981,0,7,78,1,-4,-4,-5,-5,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-2,-2,6,7,6,1,5,7,5,7,5,5,5,6,7,7,5,1,5,7,7,7,5,7,7,5,-5,-5,-5,-5,-5,-5,-5,-5,1,3,1,2,2,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
6904,1,1,1981,0,55,102,1,-4,-4,-4,-4,-4,-4,-4,-4,29738,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,5,7,4,6,3,7,2,7,1,1,2,7,5,5,2,6,2,1,3,7,6,7,5,6,2,3,1,4,1,3,4,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,5,3
6905,2,8,1984,0,27,91,1,12,82,4,74,18,86,18,86,29342,2,2,2,4,2,2,2,4,16,85,6,1,5,3,2,6,7,1,7,1,1,6,3,1,6,1,7,6,1,1,7,5,7,1,7,7,4,1,5,1,3,4,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,4,7
6906,2,1,1984,0,21,88,1,7,78,8,79,5,76,8,79,14491,1,2,1,4,3,3,2,5,13,83,7,4,7,6,7,4,5,1,5,1,1,1,7,7,1,1,7,7,1,1,7,7,7,1,6,7,5,1,5,1,5,3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-3,6,-3,6,3,7
6907,1,12,1982,0,-4,-4,2,-5,-5,-5,-5,-4,-4,-4,-4,-5,3,3,1,4,5,1,1,5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,6,7,4,4,5,5,-2,-2,-2,1,-2,-2,-2,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6908,2,8,1981,0,12,82,2,-4,-4,-4,-4,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
6909,2,12,1983,0,34,94,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,4,5,5,6,5,6,4,5,1,1,1,-2,-2,5,1,7,-2,1,1,7,6,4,2,2,4,5,4,4,1,5,4,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,4,7
6910,1,11,1980,0,-4,-4,2,-4,-4,-4,-4,-4,-4,-5,-5,33969,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,4,7,3,5,6,6,2,7,1,2,6,6,6,5,1,7,4,2,1,6,6,1,2,6,5,-5,-5,-5,-5,-5,-5,-5,-5,3,2,4,2,3,4,2,3,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
6911,1,5,1983,0,25,90,2,-4,-4,-4,-4,-4,-4,-4,-4,48502,2,3,2,4,4,1,1,1,-4,-4,6,2,6,3,7,2,7,2,7,3,2,2,7,7,6,6,6,2,2,1,7,7,1,1,7,7,5,1,5,1,5,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6912,1,8,1983,0,18,86,2,-4,-4,-4,-4,-5,-5,-4,-4,27822,3,4,3,2,4,3,4,4,-4,-4,-2,-2,4,6,4,4,5,6,1,4,5,6,4,2,3,4,7,7,1,1,5,5,1,1,7,4,3,4,4,2,4,4,4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,6,-3,6,-3,6
6913,2,2,1983,0,39,96,2,-4,-4,-4,-4,-4,-4,-4,-4,16979,1,2,1,2,2,1,2,5,-4,-4,4,1,7,3,6,4,4,1,4,1,1,1,5,5,5,1,5,6,1,1,7,5,6,1,6,7,3,-2,3,1,3,3,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,-4,-4,-4,3,4
6914,2,7,1980,0,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,33373,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,3,7,4,7,4,7,4,7,4,1,1,7,7,6,3,6,5,1,1,6,7,2,1,6,6,3,5,4,1,3,5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,-4,-4
6915,1,6,1981,0,18,86,2,-4,-4,-4,-4,-5,-5,-4,-4,31938,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,7,6,1,2,1,3,4,3,5,1,4,4,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,4,5
6916,2,8,1981,0,13,83,2,-4,-4,-4,-4,-4,-4,-4,-4,15553,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,3,6,1,5,1,5,3,6,5,1,5,5,6,2,1,6,2,3,5,5,5,5,3,5,3,3,3,4,2,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
6917,2,8,1980,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,31674,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,1,7,3,3,5,7,2,4,1,4,5,4,4,1,1,6,5,1,1,7,7,7,6,6,4,3,3,3,2,4,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,6,4,5,4,3,3
6918,1,10,1981,0,12,82,1,-5,-5,-4,-4,-4,-4,-4,-4,6285,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,7,1,7,7,1,1,7,5,1,5,7,7,7,6,5,7,1,2,7,6,4,5,6,4,4,2,3,1,3,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6919,2,1,1981,0,0,57,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,2,1,5,5,7,1,-2,-2,6,5,3,5,1,1,7,7,1,7,1,1,1,-2,-2,-2,5,5,5,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
6920,2,9,1982,0,13,83,1,-4,-4,-4,-4,-4,-4,-4,-4,24322,3,2,1,1,3,2,2,5,-4,-4,6,5,6,1,7,7,7,7,7,2,2,6,4,6,3,1,5,-1,5,1,7,7,5,3,7,5,4,2,3,1,2,2,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
6921,2,7,1980,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,6900,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7,2,7,1,7,5,5,1,7,1,1,1,7,7,7,3,6,7,1,2,7,7,7,4,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,1,5,1,5,5,1,1,-5,3,4,3,4,-4,-4
6922,1,4,1982,0,13,83,1,-4,-4,-4,-4,-4,-4,-4,-4,3612,1,4,1,5,4,2,2,4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,7,7,7,5,7,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-4,-4,-4,-4,-4,-4
6923,2,2,1982,0,77,111,1,-4,-4,-4,-4,-5,-5,-4,-4,-4,2,2,2,4,4,4,2,5,-4,-4,6,4,7,2,6,4,6,2,7,1,1,2,7,6,4,1,3,4,1,2,7,6,6,2,5,6,4,2,4,1,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,4,5
6924,2,1,1983,0,2,69,1,-4,-4,-4,-4,-4,-4,-4,-4,23361,1,4,1,5,5,1,1,5,-4,-4,7,6,7,1,7,6,7,1,6,1,1,7,-2,-2,1,1,7,6,1,1,7,7,3,1,7,7,4,5,4,1,3,4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6925,2,5,1982,0,-3,-3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,3,3,4,2,5,2,-4,-4,6,-2,7,3,6,2,5,1,-2,-2,7,6,7,3,5,7,1,2,6,6,3,6,3,5,5,5,1,-2,5,5,5,5,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,-4,-4,-4
6926,1,3,1984,0,-3,-3,2,7,78,4,74,6,77,-4,-4,-4,1,3,1,1,3,3,2,4,14,84,4,2,5,4,5,4,4,5,3,4,2,5,3,3,4,5,4,1,2,3,3,5,4,5,4,4,-5,-5,-5,-5,-5,-5,-5,-5,2,2,4,2,4,4,4,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-3,6
6927,1,2,1983,0,18,86,2,-4,-4,-4,-4,-4,-4,-5,-5,-4,2,2,1,5,5,1,1,5,-4,-4,6,6,7,5,7,6,7,1,7,1,1,1,7,7,5,1,6,7,1,1,7,7,1,1,7,7,4,4,4,1,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-3,6
6928,1,12,1981,0,10,81,1,-4,-4,-4,-4,-4,-4,-4,-4,8074,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,3,7,3,5,4,4,4,5,4,1,4,4,5,3,1,5,5,1,3,5,6,4,3,4,4,5,5,3,1,4,4,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,-4,3,3
6929,1,10,1984,0,12,82,1,4,73,5,75,34,94,8,79,7710,3,5,1,3,5,5,4,4,-4,-4,5,5,7,5,7,7,5,1,7,1,5,5,7,7,7,5,5,5,4,7,5,4,5,5,5,4,4,5,4,1,3,3,2,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
6930,2,7,1982,0,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2,4,2,2,4,4,2,-4,-4,7,4,6,4,7,4,6,3,5,3,2,2,6,6,1,1,6,5,1,1,7,7,3,1,7,7,5,5,5,1,4,5,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,4
6931,2,12,1984,0,27,91,2,73,109,19,87,13,83,18,86,-4,1,5,1,5,3,2,3,5,16,85,6,7,7,4,6,5,7,1,7,1,1,4,7,7,2,1,5,3,1,3,6,7,4,1,6,7,5,1,5,1,4,5,1,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-3,6
6932,1,10,1982,0,-3,-3,2,-4,-4,-5,-5,-4,-4,-4,-4,-4,1,3,1,1,2,3,1,5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,4,4,1,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,4,1,4,3,4
6933,2,10,1981,0,-4,-4,2,-4,-4,-4,-4,-5,-5,-4,-4,6173,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,5,-1,-1,4,7,7,1,3,5,1,1,1,7,5,5,6,-2,3,6,7,6,4,4,5,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,5,4,1,4,5,1,1,1,-4,-4,-4,-4,-4,-4
6934,1,3,1981,0,14,84,2,-5,-5,-4,-4,-4,-4,-4,-4,4929,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
6935,2,8,1984,0,27,91,2,5,76,14,84,4,74,4,74,14416,1,5,1,5,4,2,4,5,16,85,6,6,7,5,7,1,3,1,4,1,1,1,7,7,4,5,3,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,3,7
6936,2,12,1983,0,14,84,2,-4,-4,-4,-4,-4,-4,-4,-4,9357,2,4,1,1,5,4,4,5,-4,-4,5,4,7,6,7,2,6,3,5,6,1,5,7,7,2,5,6,6,2,2,7,6,3,5,7,2,3,3,4,1,5,4,2,-2,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6937,2,11,1983,0,9,80,2,-4,-4,-4,-4,-4,-4,-5,-5,8567,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
6938,2,5,1984,0,30,92,2,45,98,25,90,21,88,19,87,34612,3,5,1,4,4,1,2,4,-4,-4,5,2,7,2,4,5,6,1,6,2,1,1,6,7,6,1,6,6,1,5,7,6,4,1,7,5,3,3,4,2,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,5
6939,1,4,1981,0,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,44077,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,1,6,3,7,5,5,2,5,1,1,2,6,5,7,6,5,4,-5,-5,-5,-5,-5,-5,-5,-5,4,4,5,2,4,5,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6940,1,11,1983,0,75,110,2,-4,-4,-4,-4,-4,-4,-4,-4,55357,2,4,3,2,2,2,2,5,-4,-4,6,4,7,3,4,5,4,2,6,2,1,1,7,7,3,5,4,7,1,1,6,6,7,4,5,2,3,3,5,2,4,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,4,5
6941,1,6,1984,0,47,99,2,-5,-5,5,76,-5,-5,-5,-5,45543,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,4,6,3,5,6,5,3,4,4,1,5,5,4,4,4,5,7,1,2,5,5,4,3,5,3,3,3,5,1,5,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
6942,1,11,1980,0,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,36052,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,2,7,3,6,4,5,2,5,2,2,1,6,6,1,5,5,6,1,1,7,7,1,2,7,6,5,1,5,1,4,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,1,-3,3,-3,3,-3,2
6943,1,11,1981,0,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,37891,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,5,7,4,5,7,7,3,7,3,1,4,7,6,1,4,5,5,1,4,6,6,2,3,6,6,3,3,3,1,2,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,2,3,2,-4,-4
6944,2,3,1982,0,39,96,2,-4,-4,-4,-4,-4,-4,-4,-4,44208,1,3,1,1,4,3,5,5,-4,-4,5,5,7,3,5,3,6,1,5,4,1,2,7,5,4,2,5,7,1,1,7,7,5,1,2,6,3,3,4,1,4,4,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
6945,2,2,1983,0,39,96,2,-4,-4,-4,-4,-4,-4,-4,-4,47114,3,4,2,1,5,4,4,5,-4,-4,6,3,5,3,4,2,7,4,4,2,1,1,6,5,3,1,7,3,1,1,6,7,2,1,7,6,3,3,3,1,3,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,4,5
6946,2,7,1981,0,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,14507,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,4,7,7,6,7,6,2,5,1,1,1,6,7,2,1,6,1,1,1,7,6,1,1,7,5,1,4,4,1,5,5,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
6947,2,8,1982,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,1,5,5,1,1,5,-4,-4,7,1,7,1,4,1,7,1,7,6,1,1,7,7,4,1,7,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,5,4
6948,2,7,1982,0,-3,-3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,5,5,2,5,5,5,2,5,2,2,5,5,1,7,1,2,7,5,6,7,5,7,1,1,7,4,5,5,1,5,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,10,-3,10,-3,10
6949,2,8,1980,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,5,3,1,7,6,5,1,6,1,1,4,7,7,3,1,7,4,1,1,7,7,7,3,3,3,5,5,5,1,5,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,3,2
6950,1,7,1980,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,23708,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,5,6,4,6,5,5,2,5,3,1,5,6,6,4,4,5,4,1,1,7,7,5,5,6,4,4,5,3,1,4,5,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
6951,2,8,1980,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,29050,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,5,7,4,7,4,6,2,4,4,3,4,6,6,4,7,6,3,1,1,1,7,4,6,1,4,5,1,4,1,3,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,-3,3,-3,3
6952,2,12,1983,0,45,98,1,-4,-4,-4,-4,-4,-4,-4,-4,37098,2,4,1,5,4,1,2,5,-4,-4,6,4,6,2,6,4,5,1,6,1,1,1,7,6,5,1,7,7,1,1,7,6,5,4,4,2,5,4,5,1,5,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,5,-3,5,4,5
6953,2,4,1984,0,47,99,1,-5,-5,45,98,70,108,87,117,-5,3,4,1,2,4,1,4,4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,4,3,2,3,3,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,4,4,4,4,4
6954,1,11,1982,0,10,81,1,-4,-4,-4,-4,-4,-4,-4,-4,30288,2,1,2,4,5,3,5,5,-4,-4,6,5,7,1,7,7,7,3,6,2,1,1,6,7,1,1,6,6,1,2,7,6,3,5,6,3,4,-2,2,1,-2,2,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,4,4
6956,2,12,1983,0,91,120,1,-4,-4,-4,-4,-4,-4,-4,-4,99220,1,5,2,5,4,4,4,2,-4,-4,6,5,7,2,5,3,6,1,5,2,1,2,7,6,5,5,3,1,2,2,7,6,7,5,4,1,3,4,4,2,4,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,6,4
