"R0000100","R0536300","R0536401","R0536402","R1235800","R1318100","R1318200","R1482600","R3961800","R3961900","R3989100","R3989200","R5473600","R5473700","R7237300","R7237400","R9829600","S0920000","S0920100","S0920200","S0920300","S0920400","S0920500","S0920600","S0920700","S1552600","S1552700","T3162500","T3162501","T3162502","T3162503","T3162504","T3162505","T3162506","T3162507","T3162508","T3162509","T3162600","T3162601","T3162602","T3162603","T3162700","T3162701","T3162702","T3162703","T6216400","T6216401","T6216402","T6216403","T6216500","T6216501","T6216502","T6216503","T9039400","T9039500","T9039600","T9039700","T9039800","T9039900","T9040000","T9040100","U1028900","U1029000","U1029100","U1029200","U1029300","U1029400","U1029500","U1029600","U2969100","U2969200","U2969300","U2969400","U2969500","U2969600","U2969700","U2969800","U4954600","Z9033700","Z9033800","Z9033900","Z9034000","Z9034100","Z9034200"
5249,1,4,1982,1,75,110,4,-4,-4,-4,-4,-4,-4,-4,-4,77961,4,4,2,3,5,3,4,4,-4,-4,5,5,6,5,4,4,5,5,5,5,2,2,7,6,5,3,6,3,2,1,6,5,3,2,5,4,4,3,3,1,3,3,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,4,3
5250,1,12,1981,1,12,82,4,-4,-4,-4,-4,-4,-4,-4,-4,66341,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,4,6,3,5,6,3,2,7,4,4,5,5,5,2,2,5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,3,-3,3,-4,-4
5251,2,8,1981,1,23,89,4,-4,-4,-4,-4,-4,-4,-4,-4,78003,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,5,7,4,6,5,6,5,6,4,2,2,7,6,5,2,5,5,1,2,6,6,5,3,5,3,3,2,3,1,4,4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,-3,4
5252,1,9,1982,1,58,103,4,-4,-4,-4,-4,-4,-4,-4,-4,42654,3,4,3,2,4,2,3,3,-4,-4,7,2,7,2,7,2,7,2,7,2,1,1,1,1,2,2,7,7,2,6,6,6,2,4,5,3,3,4,3,2,3,4,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
5253,2,12,1981,1,8,79,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
5254,1,9,1984,1,21,88,4,-5,-5,23,89,19,87,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,4,7,2,4,4,5,2,4,2,2,2,6,6,5,5,6,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
5255,1,10,1984,1,87,117,4,73,109,75,110,68,107,66,106,-4,1,4,2,5,2,3,4,5,70,108,7,4,7,4,4,1,5,1,4,4,2,2,6,6,4,2,5,4,2,2,6,6,6,1,6,5,5,3,5,2,5,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-3,6
5256,2,5,1984,1,58,103,4,-4,-4,-3,-3,58,103,82,114,-4,3,4,1,4,4,3,3,5,-4,-4,3,2,5,6,5,5,6,3,2,3,2,2,6,6,5,1,6,5,4,2,5,5,7,2,5,4,3,4,3,1,1,1,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,3,3,5,4,5,-4,-4
5257,2,1,1983,1,30,92,4,-4,-4,-4,-4,-4,-4,-4,-4,64225,2,3,3,4,4,5,5,4,-4,-4,4,1,5,5,7,6,6,5,4,1,1,1,7,5,6,7,5,3,-5,-5,-5,-5,-5,-5,-5,-5,4,3,4,1,4,3,1,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
5258,1,9,1982,1,16,85,4,-4,-4,-4,-4,-4,-4,-4,-4,53336,4,3,1,3,3,2,4,5,-4,-4,6,7,5,5,6,5,4,4,4,5,2,1,6,5,6,7,6,2,2,3,5,5,4,7,5,3,2,4,2,1,3,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
