sub,run,gain,loss,RT,participant_response
002,04,18,17,1.249,strongly_accept
002,04,7,8,1.041,strongly_reject
002,04,14,8,1.144,weakly_accept
002,04,17,6,1.143,strongly_accept
002,04,12,18,1.662,weakly_accept
002,04,16,12,1.56,weakly_accept
002,04,16,9,1.038,weakly_accept
002,04,20,10,0.937,strongly_accept
002,04,5,15,1.041,strongly_reject
002,04,7,14,1.146,strongly_reject
002,04,15,19,1.248,strongly_accept
002,04,9,13,1.04,strongly_reject
002,04,10,16,1.453,strongly_reject
002,04,10,15,1.037,strongly_reject
002,04,11,10,1.145,strongly_reject
002,04,18,11,1.041,strongly_accept
002,04,19,7,0.833,strongly_accept
002,04,19,19,0.935,strongly_accept
002,04,10,6,1.349,weakly_accept
002,04,15,8,1.248,weakly_accept
002,04,6,6,1.246,weakly_reject
002,04,11,7,1.247,weakly_accept
002,04,15,16,1.351,weakly_reject
002,04,7,10,1.665,weakly_reject
002,04,13,7,1.455,weakly_accept
002,04,16,15,1.35,weakly_accept
002,04,14,16,1.661,weakly_reject
002,04,10,10,1.249,weakly_reject
002,04,18,9,1.141,strongly_accept
002,04,17,5,1.558,strongly_accept
002,04,8,12,1.249,strongly_reject
002,04,8,19,0.938,strongly_reject
003,01,14,14,1.247,strongly_accept
003,01,38,14,1.041,strongly_accept
003,01,10,18,2.803,weakly_accept
003,01,16,5,0.936,strongly_accept
003,01,40,12,1.142,strongly_accept
003,01,40,18,1.145,strongly_accept
003,01,24,9,1.04,strongly_accept
003,01,30,14,1.352,strongly_accept
003,01,10,15,2.289,weakly_reject
003,01,28,5,1.041,strongly_accept
003,01,18,20,1.87,weakly_accept
003,01,24,14,1.456,strongly_accept
003,01,12,9,1.248,strongly_accept
003,01,36,7,1.242,strongly_accept
003,01,38,19,1.25,strongly_accept
003,01,20,15,2.702,weakly_accept
003,01,32,12,1.144,strongly_accept
003,01,30,17,1.144,strongly_accept
003,01,14,9,1.249,strongly_accept
003,01,38,9,1.038,strongly_accept
003,01,32,5,1.041,strongly_accept
003,01,10,10,2.392,weakly_reject
003,01,12,10,1.247,strongly_accept
003,01,28,17,1.456,strongly_accept
003,01,34,8,0.935,strongly_accept
003,01,28,9,1.04,strongly_accept
003,01,20,9,1.041,strongly_accept
003,01,38,6,0.936,strongly_accept
003,01,32,20,1.038,strongly_accept
003,01,38,15,1.351,strongly_accept
003,01,28,20,2.597,strongly_accept
003,01,16,13,2.082,strongly_accept
003,01,34,14,1.248,strongly_accept
003,01,20,7,1.35,strongly_accept
003,01,18,14,1.766,strongly_accept
003,01,24,13,1.455,strongly_accept
003,01,34,13,1.456,strongly_accept
003,01,36,10,1.246,strongly_accept
003,01,32,13,1.039,strongly_accept
003,01,26,16,1.458,strongly_accept
003,01,30,8,1.246,strongly_accept
003,01,24,17,1.038,strongly_accept
003,01,34,19,0.833,strongly_accept
003,01,16,16,2.081,weakly_accept
003,01,38,20,1.353,strongly_accept
003,01,22,8,1.249,strongly_accept
003,01,22,19,1.143,strongly_accept
003,01,10,7,2.078,strongly_accept
003,01,22,10,1.458,strongly_accept
003,01,10,20,0.832,strongly_accept
003,01,28,8,1.04,strongly_accept
003,01,16,17,2.911,weakly_accept
003,01,26,9,1.146,strongly_accept
003,01,30,10,1.347,strongly_accept
003,01,36,8,1.143,strongly_accept
003,01,36,12,2.393,strongly_accept
003,01,14,6,1.664,strongly_accept
003,01,20,8,1.04,strongly_accept
003,01,16,6,1.348,strongly_accept
003,01,12,19,3.225,weakly_reject
003,01,32,14,3.641,strongly_accept
003,01,20,20,0.0,NoResp
003,01,20,5,1.456,strongly_accept
003,01,22,11,1.457,strongly_accept
003,02,34,7,1.351,strongly_accept
003,02,40,7,1.249,strongly_accept
003,02,38,13,1.247,strongly_accept
003,02,34,20,1.041,strongly_accept
003,02,18,10,3.742,strongly_accept
003,02,30,11,0.935,strongly_accept
003,02,26,11,1.456,strongly_accept
003,02,40,10,1.352,strongly_accept
003,02,20,18,1.352,strongly_accept
003,02,14,10,1.873,strongly_accept
003,02,10,16,0.0,NoResp
003,02,24,15,1.144,strongly_accept
003,02,28,16,1.04,strongly_accept
003,02,30,20,1.663,strongly_accept
003,02,14,18,2.081,strongly_accept
003,02,16,11,1.454,strongly_accept
003,02,32,7,1.663,strongly_accept
003,02,12,18,2.076,weakly_reject
003,02,38,18,0.936,strongly_accept
003,02,40,8,0.937,strongly_accept
003,02,20,16,1.871,weakly_accept
003,02,18,8,1.351,strongly_accept
003,02,40,5,1.246,strongly_accept
003,02,12,15,2.289,weakly_accept
003,02,30,16,2.802,strongly_accept
003,02,20,11,0.935,strongly_accept
003,02,12,14,2.183,weakly_reject
003,02,40,17,1.665,strongly_accept
003,02,26,5,1.458,strongly_accept
003,02,18,6,0.832,strongly_accept
003,02,28,7,0.0,NoResp
003,02,16,9,0.0,NoResp
003,02,16,7,0.0,NoResp
003,02,30,7,0.0,NoResp
003,02,12,6,3.017,strongly_accept
003,02,10,12,1.457,weakly_reject
003,02,16,15,2.186,weakly_reject
003,02,16,8,1.142,strongly_accept
003,02,28,18,1.04,strongly_accept
003,02,34,15,0.833,strongly_accept
003,02,24,11,0.833,strongly_accept
003,02,34,12,1.458,strongly_accept
003,02,24,20,1.768,strongly_accept
003,02,22,16,2.289,strongly_accept
003,02,20,6,1.354,strongly_accept
003,02,24,16,1.249,strongly_accept
003,02,26,13,0.0,NoResp
003,02,16,20,1.873,weakly_reject
003,02,10,19,1.978,weakly_reject
003,02,18,11,2.289,strongly_accept
003,02,12,8,1.354,strongly_accept
003,02,40,15,0.52,strongly_accept
003,02,24,6,0.727,strongly_accept
003,02,30,18,3.225,strongly_accept
