stimulus,condition,rt1,resp1,rt2,resp2,rt3,resp3,rt4,resp4,rt5,resp5,enter_rt,enter_resp,unknown,subject,session
52697,0,768,5,226,2,267,6,230,9,221,7,247,-35,,1,1
97186,2,940,9,226,7,258,1,189,8,222,3,583,-35,,1,1
87145,0,1107,8,212,7,230,1,249,4,195,5,273,-35,,1,1
12743,2,738,1,258,2,398,7,471,4,276,3,242,-35,,1,1
65865,2,750,6,262,5,244,8,317,6,217,5,324,-35,,1,1
31239,2,843,3,262,1,222,2,235,3,230,9,288,-35,,1,1
92381,2,730,9,270,2,240,3,285,8,235,1,261,-35,,1,1
65238,2,894,6,208,5,208,2,235,3,311,8,297,-35,,1,1
87463,2,875,8,221,7,244,4,695,6,258,3,237,-35,,1,1
65695,0,728,6,216,5,235,6,253,9,240,5,287,-35,,1,1
81818,0,631,8,230,1,222,8,252,1,236,8,306,-35,,1,1
14263,0,834,1,322,4,258,2,240,6,240,3,246,-35,,1,1
73194,2,1053,7,277,3,257,1,263,9,244,4,288,-35,,1,1
12592,0,675,1,245,2,230,5,199,9,252,2,238,-35,,1,1
45814,2,1039,4,212,5,226,8,240,1,257,4,311,-35,,1,1
25978,2,756,2,234,5,267,9,217,7,230,8,351,-35,,1,1
18658,2,581,1,268,8,553,6,249,5,212,8,351,-35,,1,1
78431,2,792,7,244,8,522,4,231,3,258,1,260,-35,,1,1
92639,2,819,9,271,2,262,6,236,3,253,8,587,-35,,1,1
87387,2,967,8,207,7,227,3,244,8,230,7,411,-35,,1,1
43971,2,1002,4,245,3,235,9,262,7,272,3,474,-35,,1,1
94312,2,948,9,253,4,335,3,216,1,195,2,260,-35,,1,1
26374,2,809,2,253,6,262,3,531,7,289,4,252,-35,,1,1
56561,2,898,5,231,6,307,5,359,6,289,1,307,-35,,1,1
45692,2,1025,4,249,5,254,6,253,9,335,2,288,-35,,1,1
87145,0,1074,8,203,7,272,1,249,4,198,5,284,-35,,1,1
69231,2,1197,6,240,9,280,2,318,3,325,1,224,-35,,1,1
37463,2,848,3,234,7,239,4,268,6,253,3,265,-35,,1,1
56378,2,754,5,230,6,258,3,244,7,221,8,297,-35,,1,1
14263,0,793,1,257,4,436,2,267,6,230,3,251,-35,,1,1
84631,2,999,8,267,4,285,6,286,3,225,1,274,-35,,1,1
